Dystans (m),Wysokość (m)
15092.688916873602,363.7064819335938
15281.347528334521,357.1618041992188
15470.006139795441,351.0027160644531
15658.664751256361,351.1885070800781
15847.323362717281,351.2166442871094
16035.981974178201,350.0589294433594
16224.640585639121,349.6875610351562
16413.29919710004,350.7200927734375
16601.95780856096,354.6077575683594
16790.61642002188,359.9443969726562
16979.2750314828,363.7445373535156
17167.93364294372,369.8634948730469
17356.59225440464,377.4438171386719
17545.25086586556,383.7101745605469
17733.90947732648,387.8224792480469
17922.5680887874,382.0576171875
18111.22670024832,379.5293884277344
18299.88531170924,376.8868103027344
18488.54392317016,381.342041015625
18677.20253463108,385.688720703125
18865.861146092,386.3114318847656
19054.51975755292,377.8195190429688
19243.17836901384,370.0680236816406
19431.83698047476,365.0066833496094
19620.49559193568,362.4267883300781
19809.1542033966,354.6958312988281
19997.81281485752,347.5955200195312
20186.471426318443,341.1443176269531
20375.130037779363,341.7799987792969
20563.788649240283,339.2159118652344
20752.447260701203,337.7760620117188
20941.105872162123,334.9418334960938
21129.764483623043,330.9193115234375
21318.423095083963,323.1102600097656
21507.081706544883,319.8691711425781
21695.740318005803,322.273681640625
21884.398929466723,318.3816223144531
22073.057540927643,310.2427062988281
22261.716152388562,300.7957153320312
22450.374763849482,292
22639.033375310402,291.4655151367188
22827.691986771322,287.51953125
23016.350598232242,287.1485900878906
23205.009209693162,290.2061462402344
23393.667821154082,289.0759582519531
23582.326432615002,287.2049255371094
23770.985044075922,286.339599609375
23959.643655536842,287.6680297851562
24148.30226699776,285.9076232910156
24336.96087845868,286.628662109375
24525.6194899196,286.7740173339844
24714.27810138052,286.2673950195312
24902.93671284144,285.0795593261719
25091.59532430236,287.2854614257812
25280.25393576328,285
25468.9125472242,288.8201599121094
25657.57115868512,290.4693603515625
25846.22977014604,304.8672180175781
26034.88838160696,312.4452514648438
26223.54699306788,315.9972534179688
26412.2056045288,321.1473083496094
26600.86421598972,319.5122680664062
26789.52282745064,319.8704833984375
26978.18143891156,319.3609619140625
27166.84005037248,322.1272583007812
27355.4986618334,327.5808410644531
27544.15727329432,332.0984191894531
27732.81588475524,336.8722534179688
27921.47449621616,337.4419860839844
28110.13310767708,343.6308288574219
28298.791719138004,345.1809692382812
28487.450330598924,348.785888671875
28676.108942059844,352.6557006835938
28864.767553520764,356.4993591308594
29053.426164981684,358.1031799316406
29242.084776442603,360.616455078125
29430.743387903523,364.2445983886719
29619.401999364443,364.9925537109375
29808.060610825363,364.2215881347656
29996.719222286283,365.2090148925781
30185.377833747203,370.174560546875
30374.036445208123,370.0003051757812
30562.695056669043,369.5689392089844
30751.353668129963,380.4872131347656
30940.012279590883,376.8120727539062
31128.670891051803,369.6568298339844
31317.329502512723,365.988525390625
31505.988113973643,362.2950134277344
31694.646725434563,357.5985717773438
31883.305336895482,355.447021484375
32071.963948356402,352.0041198730469
32260.622559817322,346.6277770996094
32449.281171278242,345.06201171875
32637.939782739162,339.7264099121094
32826.59839420008,329.9661560058594
33015.257005661006,338.0245056152344
33203.91561712192,348.6333618164062
33392.574228582846,343.9706115722656
33581.23284004376,333.0195007324219
33769.891451504685,323.8496704101562
33958.5500629656,325.0101013183594
34147.208674426525,326.8365478515625
34335.86728588744,325.5105285644531
34524.525897348365,327.6734008789062
34713.18450880928,330.1636657714844
34901.843120270205,330.8087463378906
35090.50173173112,330.965087890625
35279.160343192045,329.8544311523438
35467.81895465296,332.628173828125
35656.477566113885,336.7161254882812
35845.1361775748,339.0234985351562
36033.794789035725,343.5697326660156
36222.45340049664,343.3773498535156
36411.112011957564,345.9537048339844
36599.77062341848,350.5542907714844
36788.429234879404,353.0704650878906
36977.08784634032,355.4562377929688
37165.746457801244,358.5173645019531
37354.40506926216,361.5588989257812
37543.063680723084,364.6697998046875
37731.722292184,367.5665893554688
37920.380903644924,371.8433837890625
38109.03951510584,374.2707824707031
38297.698126566764,377.2300720214844
38486.35673802768,381.5917053222656
38675.0153494886,384.7430114746094
38863.67396094952,388.7087097167969
39052.33257241044,390.3536376953125
39240.99118387136,395.6919250488281
39429.64979533228,399.9404907226562
39618.3084067932,405.4021911621094
39806.96701825412,407.5462951660156
39995.62562971504,411.5987243652344
40184.28424117596,417.9772033691406
40372.94285263689,420.5484619140625
40561.6014640978,425.6161499023438
40750.26007555873,430.36474609375
40938.91868701964,437.9926452636719
41127.577298480566,448.8453674316406
41316.23590994148,458.9147033691406
41504.894521402406,469.1939392089844
41693.55313286332,476.8565063476562
41882.211744324246,488.599853515625
42070.87035578516,504.6382141113281
42259.528967246086,522.8269653320312
42448.187578707,541.1004028320312
42636.846190167926,561.678466796875
42825.50480162884,569.4036865234375
43014.163413089766,594.2918090820312
43202.82202455068,614.0751342773438
43391.480636011605,638.56787109375
43580.13924747252,661.05908203125
43768.797858933445,670.337158203125
43957.45647039436,681.2786865234375
44146.115081855285,704.3063354492188
44334.7736933162,707.6007690429688
44523.432304777125,716.3243408203125
44712.09091623804,726.205078125
44900.749527698965,732.7056274414062
45089.40813915988,726.6924438476562
45278.066750620805,719.1194458007812
45466.72536208172,709.6407470703125
45655.383973542645,711.285888671875
45844.04258500356,700.4583129882812
46032.701196464484,687.0070190429688
46221.3598079254,667.8812866210938
46410.018419386324,655.464599609375
46598.67703084724,647.4405517578125
46787.335642308164,625.8184204101562
46975.99425376908,605.2645874023438
47164.652865230004,587.3888549804688
47353.31147669092,561.44384765625
47541.970088151844,543.2777709960938
47730.62869961276,533.6683959960938
47919.287311073684,506.023193359375
48107.9459225346,499.738525390625
48296.60453399552,497.5596008300781
48485.26314545645,493.8878173828125
48673.92175691736,488.8065490722656
48862.58036837829,484.6661071777344
49051.2389798392,477.5976867675781
49239.89759130013,472.6657104492188
49428.55620276104,479.5985107421875
49617.21481422197,471.85986328125
49805.87342568288,466.3022766113281
49994.53203714381,455.9934692382812
50183.19064860472,452.3734741210938
50371.84926006565,451.1575622558594
50560.50787152656,453.3618469238281
50749.166482987486,447.7578125
50937.8250944484,435.859130859375
