Distance (m),Elevation (m)
0,12.92270946502686
1.4613800971340205,12.93438625335693
2.922760194268041,12.9460620880127
4.384140291402062,12.95773887634277
5.845520388536082,12.96941566467285
7.306900485670102,12.98109245300293
8.768280582804124,12.99276924133301
10.229660679938144,13.00311946868896
11.691040777072164,13.01102447509766
13.152420874206184,13.01851177215576
14.613800971340204,13.02558040618896
16.075181068474226,13.03223133087158
17.536561165608248,13.0384635925293
18.997941262742266,13.04427814483643
20.459321359876288,13.04967498779297
21.920701457010306,13.05465316772461
23.382081554144328,13.05921268463135
24.84346165127835,13.06335544586182
26.304841748412368,13.06707954406738
27.76622184554639,13.07425022125244
29.22760194268041,13.09084129333496
30.68898203981443,13.10769653320312
32.15036213694845,13.1248140335083
33.61174223408247,13.14219570159912
35.073122331216496,13.15983963012695
36.534502428350514,13.17774772644043
37.99588252548453,13.19591903686523
39.45726262261855,13.21435356140137
40.918642719752576,13.23305225372314
42.380022816886594,13.25201320648193
43.84140291402061,13.27123737335205
45.30278301115464,13.29072570800781
46.764163108288656,13.3104772567749
48.225543205422674,13.33049201965332
49.6869233025567,13.35076999664307
51.14830339969072,13.37131118774414
52.609683496824736,13.39211654663086
54.07106359395876,13.41318416595459
55.53244369109278,13.43451595306396
56.9938237882268,13.45611095428467
58.45520388536082,13.4779691696167
59.91658398249484,13.4880542755127
61.37796407962886,13.49755096435547
62.83934417676288,13.50671482086182
64.3007242738969,13.51554775238037
65.76210437103093,13.52404880523682
67.22348446816494,13.53221702575684
68.68486456529897,13.54005432128906
70.14624466243299,13.54755878448486
71.607624759567,13.55473232269287
73.06900485670103,13.56157398223877
74.53038495383504,13.56808280944824
75.99176505096906,13.57425975799561
77.45314514810309,13.58010578155518
78.9145252452371,13.58561897277832
80.37590534237113,13.59080123901367
81.83728543950515,13.5956506729126
83.29866553663916,13.60016822814941
84.76004563377319,13.60435485839844
86.22142573090721,13.60820865631104
87.68280582804123,13.61173057556152
89.14418592517525,13.6149206161499
90.60556602230928,13.61777877807617
92.06694611944329,13.62303256988525
93.52832621657731,13.64364719390869
94.98970631371134,13.6639289855957
96.45108641084535,13.68387985229492
97.91246650797937,13.70349788665771
99.3738466051134,13.7227840423584
100.83522670224741,13.74173927307129
102.29660679938144,13.76036167144775
103.75798689651546,13.77865219116211
105.21936699364947,13.79661178588867
106.6807470907835,13.81423854827881
108.14212718791752,13.83153343200684
109.60350728505153,13.84849643707275
111.06488738218556,13.86512851715088
112.52626747931959,13.88142776489258
113.9876475764536,13.89739513397217
115.44902767358762,13.91303062438965
116.91040777072163,13.92833423614502
118.37178786785566,13.94330596923828
119.83316796498968,13.95794582366943
121.2945480621237,13.97225379943848
122.75592815925772,13.98623085021973
124.21730825639175,13.99987506866455
125.67868835352576,14.01318740844727
127.14006845065978,14.02616786956787
128.6014485477938,14.03881645202637
130.06282864492783,14.05113220214844
131.52420874206186,14.06311702728271
132.98558883919586,14.07476997375488
134.44696893632988,14.08609104156494
135.9083490334639,14.09708023071289
137.36972913059793,14.10773754119873
138.83110922773196,14.11806297302246
140.29248932486598,14.12805652618408
141.75386942199998,14.13771724700928
143.215249519134,14.14704704284668
144.67662961626803,14.15604496002197
146.13800971340206,14.16471099853516
147.59938981053608,14.17304515838623
149.06076990767008,14.18104648590088
150.5221500048041,14.18871688842773
151.98353010193813,14.19605541229248
153.44491019907215,14.20306205749512
154.90629029620618,14.20973587036133
156.3676703933402,14.21607875823975
157.8290504904742,14.22208976745605
159.29043058760823,14.22776794433594
160.75181068474225,14.23311519622803
162.21319078187628,14.23813056945801
163.6745708790103,14.24281311035156
165.13595097614433,14.23596572875977
166.59733107327833,14.19286727905273
168.05871117041235,14.14921474456787
169.52009126754638,14.10500717163086
170.9814713646804,14.06024646759033
172.44285146181443,14.01493072509766
173.90423155894845,13.97475910186768
175.36561165608245,13.95634841918945
176.82699175321648,13.93834018707275
178.2883718503505,13.93867301940918
179.74975194748453,13.93845176696777
181.21113204461855,13.93767547607422
182.67251214175258,13.92187595367432
184.13389223888657,13.88161182403564
185.5952723360206,13.8415002822876
187.05665243315462,13.80154037475586
188.51803253028865,13.76173210144043
189.97941262742268,13.72207546234131
191.44079272455667,13.6825704574585
192.9021728216907,13.64321708679199
194.36355291882472,13.60401630401611
195.82493301595875,13.56496715545654
197.28631311309277,13.52606868743896
198.7476932102268,13.48732280731201
200.2090733073608,13.44872856140137
201.67045340449482,13.41028690338135
203.13183350162885,13.37199592590332
204.59321359876287,13.33385753631592
206.0545936958969,13.29878616333008
207.51597379303092,13.26382637023926
208.97735389016492,13.22886753082275
210.43873398729895,13.19390773773193
211.90011408443297,13.15894889831543
213.361494181567,13.12398910522461
214.82287427870102,13.08902931213379
216.28425437583505,13.05407047271729
217.74563447296904,13.01911067962646
219.20701457010307,12.98415184020996
220.6683946672371,12.97450828552246
222.12977476437112,12.97218322753906
223.59115486150515,12.96985816955566
225.05253495863917,12.96753311157227
226.51391505577317,12.96520805358887
227.9752951529072,12.96288394927979
229.43667525004122,12.96055889129639
230.89805534717524,12.95823383331299
232.35943544430927,12.95590877532959
233.82081554144327,12.95358371734619
235.2821956385773,12.95125865936279
236.74357573571132,12.94893360137939
238.20495583284534,12.94660949707031
239.66633592997937,12.94428443908691
241.1277160271134,12.94195938110352
242.5890961242474,12.93963432312012
244.05047622138142,12.93730926513672
245.51185631851544,12.93498420715332
246.97323641564947,12.93266010284424
248.4346165127835,12.93033504486084
249.89599660991752,12.92800998687744
251.35737670705151,12.92568492889404
252.81875680418554,12.92335987091064
