Dystans (m),Wysokość (m)
0,42.84702301025391
4.050463163729771,43.49855041503906
8.100926327459542,43.99554443359375
12.151389491189313,44.43466949462891
16.201852654919083,44.83266830444336
20.252315818648853,44.96232604980469
24.302778982378626,44.88539505004883
28.353242146108396,44.86345291137695
32.403705309838166,44.89539337158203
36.45416847356794,44.92043304443359
40.504631637297706,44.93238067626953
44.55509480102748,44.92719650268555
48.60555796475725,44.90517807006836
52.65602112848702,44.78570175170898
56.70648429221679,44.62946319580078
60.75694745594656,44.5156364440918
64.80741061967633,44.43965911865234
68.8578737834061,44.38615417480469
72.90833694713588,44.27060317993164
76.95880011086564,43.98436737060547
81.00926327459541,43.60334396362305
85.05972643832519,43.16543960571289
89.11018960205496,42.70190048217773
93.16065276578473,42.18575286865234
97.2111159295145,41.70883178710938
101.26157909324426,41.2513427734375
105.31204225697404,40.80822372436523
109.36250542070381,40.37359237670898
113.41296858443359,39.95432662963867
117.46343174816336,39.55632400512695
121.51389491189312,39.20403289794922
125.56435807562289,38.88764572143555
129.61482123935266,38.64157104492188
133.66528440308244,38.42403411865234
137.7157475668122,38.2259635925293
141.76621073054199,38.01014709472656
145.81667389427176,37.80083084106445
149.86713705800153,37.47506332397461
153.91760022173128,37.15749740600586
157.96806338546105,36.81591033935547
162.01852654919082,36.4512939453125
166.0689897129206,36.09613800048828
170.11945287665037,35.89115142822266
174.16991604038014,35.62615966796875
178.22037920410992,35.67599487304688
182.2708423678397,35.73808288574219
186.32130553156946,35.82080078125
190.37176869529924,35.81252288818359
194.422231859029,35.68681335449219
198.47269502275876,35.50579071044922
202.52315818648853,35.04369354248047
206.5736213502183,34.54582977294922
210.62408451394808,34.26620483398438
214.67454767767785,34.38464736938477
218.72501084140762,34.61065673828125
222.7754740051374,34.81631469726562
226.82593716886717,34.90295791625977
230.87640033259694,34.81430053710938
234.92686349632672,34.60562133789062
238.97732666005646,34.52600860595703
243.02778982378624,34.69060516357422
247.078252987516,34.89470291137695
251.12871615124578,35.02348709106445
255.17917931497556,35.05306243896484
259.22964247870533,35.05495071411133
263.2801056424351,34.82041549682617
267.3305688061649,34.60294723510742
271.38103196989465,34.45347595214844
275.4314951336244,34.35416412353516
279.4819582973542,34.39693832397461
283.53242146108397,34.91840744018555
287.58288462481374,35.06718063354492
291.6333477885435,34.87022399902344
295.6838109522733,35.11560440063477
299.73427411600306,35.62968063354492
303.7847372797328,36.21741485595703
307.83520044346255,36.65646743774414
311.8856636071923,37.27288436889648
315.9361267709221,37.82180023193359
319.9865899346519,38.27350616455078
324.03705309838165,38.52177047729492
328.0875162621114,38.69287872314453
332.1379794258412,38.83212661743164
336.18844258957097,38.91668319702148
340.23890575330074,38.99749374389648
344.2893689170305,39.09764862060547
348.3398320807603,39.1916618347168
352.39029524449006,39.21520233154297
356.44075840821984,39.21023178100586
360.4912215719496,39.26367950439453
364.5416847356794,39.44985198974609
368.59214789940916,39.61407089233398
372.64261106313893,39.71321487426758
376.6930742268687,39.76083374023438
380.7435373905985,39.67146301269531
384.79400055432825,39.53262710571289
388.844463718058,39.38747406005859
392.89492688178774,39.27113342285156
396.9453900455175,39.2366943359375
400.9958532092473,39.36178207397461
405.04631637297706,39.62242889404297
409.09677953670683,39.91659927368164
413.1472427004366,40.25391387939453
417.1977058641664,40.31913757324219
421.24816902789615,40.14071655273438
425.2986321916259,39.92167663574219
429.3490953553557,39.72681427001953
433.3995585190855,39.54418182373047
437.45002168281525,39.57216644287109
441.500484846545,39.6362190246582
445.5509480102748,39.59028244018555
449.60141117400457,39.5447998046875
453.65187433773434,39.67982482910156
457.7023375014641,39.86814117431641
461.7528006651939,40.07780075073242
465.80326382892366,40.28506088256836
469.85372699265343,40.3470344543457
473.9041901563832,40.1475944519043
477.9546533201129,40.02605056762695
482.0051164838427,39.95502853393555
486.0555796475725,39.91995620727539
490.10604281130225,39.9627799987793
494.156505975032,40.0102653503418
498.2069691387618,40.05541610717773
502.25743230249157,40.05881118774414
506.30789546622134,40.00187683105469
510.3583586299511,39.87149810791016
514.4088217936809,39.70751953125
518.4592849574107,39.59915161132812
522.5097481211404,39.55230712890625
526.5602112848702,39.59702301025391
530.6106744486,39.66831588745117
534.6611376123298,39.74299240112305
538.7116007760595,39.66229248046875
542.7620639397893,39.58358001708984
546.8125271035191,39.52112579345703
550.8629902672488,39.53023910522461
554.9134534309786,39.70663833618164
558.9639165947084,39.98533248901367
563.0143797584382,40.36811828613281
567.0648429221679,40.63394927978516
571.1153060858977,40.79723358154297
575.1657692496275,40.75795745849609
579.2162324133573,40.50101089477539
583.266695577087,40.27242279052734
587.3171587408168,40.16100311279297
591.3676219045466,40.10321426391602
595.4180850682764,40.06476974487305
599.4685482320061,40.032470703125
603.5190113957359,39.95709609985352
607.5694745594656,39.86555480957031
611.6199377231953,39.7658576965332
615.6704008869251,39.64965438842773
619.7208640506549,39.53462219238281
623.7713272143847,39.44872665405273
627.8217903781144,39.46227645874023
631.8722535418442,39.50096893310547
635.922716705574,39.54707717895508
639.9731798693037,39.66366958618164
644.0236430330335,39.79132843017578
648.0741061967633,39.91614532470703
652.1245693604931,39.98402786254883
656.1750325242228,40.02165985107422
660.2254956879526,39.98549270629883
664.2759588516824,39.84304809570312
668.3264220154122,39.66483306884766
672.3768851791419,39.50207138061523
676.4273483428717,39.46319198608398
680.4778115066015,39.5146598815918
684.5282746703313,39.70692443847656
688.578737834061,39.81805419921875
692.6292009977908,39.77927780151367
696.6796641615206,39.5086555480957
700.7301273252504,39.04856109619141
704.7805904889801,38.46034622192383
708.8310536527099,37.42068862915039
712.8815168164397,36.50682067871094
716.9319799801694,35.68659210205078
720.9824431438992,34.99094772338867
725.032906307629,34.32163619995117
729.0833694713588,33.78448104858398
733.1338326350885,33.365966796875
737.1842957988183,33.02046966552734
741.2347589625481,32.77125549316406
745.2852221262779,32.61026000976562
749.3356852900076,32.50427627563477
753.3861484537374,32.44542694091797
757.4366116174672,32.00706100463867
761.487074781197,31.38942909240723
765.5375379449267,30.63337707519531
769.5880011086565,29.69930458068848
773.6384642723863,28.73307609558105
777.688927436116,27.75576210021973
781.7393905998457,26.9619140625
785.7898537635755,26.22830390930176
789.8403169273053,25.53762626647949
793.890780091035,24.89546394348145
797.9412432547648,24.27191543579102
801.9917064184946,23.62775230407715
806.0421695822243,22.91850471496582
810.0926327459541,22.28669738769531
814.1430959096839,21.71235847473145
818.1935590734137,21.21569633483887
822.2440222371434,20.76227569580078
826.2944854008732,20.18441390991211
830.344948564603,19.39150619506836
834.3954117283328,18.91899871826172
838.4458748920625,18.66782569885254
842.4963380557923,18.59958076477051
846.5468012195221,18.52879333496094
850.5972643832519,18.29275321960449
854.6477275469816,17.93265151977539
858.6981907107114,17.54926490783691
862.7486538744412,17.19757270812988
866.799117038171,16.86408424377441
870.8495802019007,16.76982688903809
874.9000433656305,16.75161361694336
878.9505065293603,16.76515007019043
883.00096969309,16.70452308654785
887.0514328568198,16.51929473876953
891.1018960205496,16.33610534667969
895.1523591842794,16.16280555725098
899.2028223480091,16.03347587585449
903.2532855117389,15.90769386291504
907.3037486754687,15.7904109954834
911.3542118391985,15.6734733581543
915.4046750029282,15.55024337768555
919.455138166658,15.39529418945312
923.5056013303878,15.21671772003174
927.5560644941175,14.97347545623779
931.6065276578473,14.69400405883789
935.6569908215771,14.47368717193604
939.7074539853069,14.38479042053223
943.7579171490366,14.30398082733154
947.8083803127664,14.21134185791016
951.8588434764961,14.06828784942627
955.9093066402259,13.948317527771
959.9597698039556,13.83226203918457
964.0102329676854,13.71365928649902
968.0606961314152,13.58872032165527
972.111159295145,13.39356231689453
976.1616224588747,13.24706935882568
980.2120856226045,13.17176151275635
984.2625487863343,13.15067386627197
988.313011950064,13.15695095062256
992.3634751137938,13.13521671295166
996.4139382775236,13.06849765777588
1000.4644014412534,12.92259502410889
1004.5148646049831,12.71781635284424
1008.5653277687129,12.5401496887207
1012.6157909324427,12.37869167327881
1016.6662540961725,12.23055458068848
1020.7167172599022,12.09907722473145
1024.767180423632,11.85038757324219
1028.8176435873618,11.55622386932373
1032.8681067510915,11.41230201721191
1036.9185699148213,11.65238475799561
1040.969033078551,11.97175407409668
1045.0194962422809,12.26880645751953
1049.0699594060106,12.25112819671631
1053.1204225697404,12.1517505645752
1057.1708857334702,11.85733032226562
1061.2213488972,11.56248664855957
1065.2718120609297,11.30591773986816
1069.3222752246595,11.108567237854
1073.3727383883893,10.98324012756348
1077.423201552119,10.85728359222412
1081.4736647158488,10.70272159576416
1085.5241278795786,10.67029571533203
1089.5745910433084,10.78001976013184
1093.6250542070381,10.94436454772949
1097.675517370768,11.03518104553223
